ds,y
2021-01-14,8332374
2021-01-15,8401461
2021-01-16,8459899
2021-01-17,8491313
2021-01-18,8520237
2021-01-19,8582374
2021-01-20,8646844
2021-01-21,8705781
2021-01-22,8762372
2021-01-23,8820666
2021-01-24,8849183
2021-01-25,8879711
2021-01-26,8941309
2021-01-27,9006070
2021-01-28,9066814
2021-01-29,9126298
2021-01-30,9179408
2021-01-31,9207306
2021-02-01,9235785
2021-02-02,9292047
2021-02-03,9346448
2021-02-04,9403548
2021-02-05,9455229
2021-02-06,9501538
2021-02-07,9527699
2021-02-08,9556277
2021-02-09,9607482
2021-02-10,9668576
2021-02-11,9722174
2021-02-12,9771107
2021-02-13,9815959
2021-02-14,9846679
2021-02-15,9872480
2021-02-16,9937744
2021-02-17,9984960
2021-02-18,10038426
2021-02-19,10090563
2021-02-20,10142933
2021-02-21,10172416
2021-02-22,10204246
2021-02-23,10267810
2021-02-24,10333187
2021-02-25,10401462
2021-02-26,10464846
2021-02-27,10523259
2021-02-28,10556620
2021-03-01,10596992
2021-03-02,10656676
2021-03-03,10729569
2021-03-04,10805565
2021-03-05,10878058
2021-03-06,10944959
2021-03-07,11026643
2021-03-08,11063211
2021-03-09,11134496
2021-03-10,11215954
2021-03-11,11293013
2021-03-12,11375477
2021-03-13,11445820
2021-03-14,11489265
2021-03-15,11533564
2021-03-16,11619194
2021-03-17,11707834
2021-03-18,11795752
2021-03-19,11883842
2021-03-20,11957141
2021-03-21,12004582
2021-03-22,12060545
2021-03-23,12145733
2021-03-24,12236625
2021-03-25,12334871
2021-03-26,12415209
2021-03-27,12496901
2021-03-28,12543856
2021-03-29,12586462
2021-03-30,12672888
2021-03-31,12761601
2021-04-01,12849360
2021-04-02,12918731
2021-04-03,12958081
2021-04-04,12990395
2021-04-05,13033060
2021-04-06,13118180
2021-04-07,13206856
2021-04-08,13295394
2021-04-09,13383491
2021-04-10,13450028
2021-04-11,13489201
2021-04-12,13528841
2021-04-13,13611481
2021-04-14,13686065
2021-04-15,13757241
2021-04-16,13841615
2021-04-17,13910170
2021-04-18,13949004
2021-04-19,13985511
2021-04-20,14058139
2021-04-21,14132121
2021-04-22,14180222
2021-04-23,14249499
2021-04-24,14313273
2021-04-25,14346912
2021-04-26,14379299
2021-04-27,14455126
2021-04-28,14532394
2021-04-29,14600997
2021-04-30,14672997
2021-05-01,14731286
2021-05-02,14760573
2021-05-03,14799544
2021-05-04,14869074
2021-05-05,14945440
2021-05-06,15017721
2021-05-07,15094551
2021-05-08,15156300
2021-05-09,15189020
2021-05-10,15225307
2021-05-11,15295389
2021-05-12,15371626
2021-05-13,15451644
2021-05-14,15529554
2021-05-15,15596902
2021-05-16,15634461
2021-05-17,15670045
2021-05-18,15744844
2021-05-19,15825101
2021-05-20,15908479
2021-05-21,15985100
2021-05-22,16052993
2021-05-23,16091483
2021-05-24,16128949
2021-05-25,16202975
2021-05-26,16283206
2021-05-27,16347726
2021-05-28,16401601
2021-05-29,16477462
2021-05-30,16518909
2021-05-31,16555508
2021-06-01,16634412
2021-06-02,16730682
2021-06-03,16806743
2021-06-04,16849911
2021-06-05,16911571
2021-06-06,16951914
2021-06-07,16991615
2021-06-08,17047318
2021-06-09,17132164
2021-06-10,17223395
2021-06-11,17309701
2021-06-12,17383461
2021-06-13,17420443
2021-06-14,17463128
2021-06-15,17550247
2021-06-16,17636766
2021-06-17,17713231
2021-06-18,17808663
2021-06-19,17886593
2021-06-20,17931174
2021-06-21,17976570
2021-06-22,18100809
2021-06-23,18178193
2021-06-24,18254803
2021-06-25,18329853
2021-06-26,18390515
2021-06-27,18422493
2021-06-28,18454542
2021-06-29,18520490
2021-06-30,18567618
2021-07-01,18628737
